Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
45000000.0,200000000.0,13000000.0,13000000.0,Alta,Bogotá
,,,0.0,Descalificado,
50000000.0,150000000.0,5000000.0,5000000.0,Alta,Bogotá
50000000.0,150000000.0,5000000.0,5000000.0,Descalificado,
20000000.0,150000000.0,1600000.0,1600000.0,Descalificado,Bogotá
50000000.0,150000000.0,50000000.0,50000000.0,Descalificado,
,,,0.0,Descalificado,
20000000.0,,4500000.0,4500000.0,Descalificado,Medellín
500000.0,400000000.0,5000000.0,5000000.0,Descalificado,Bogotá
500.0,100000000.0,1300000.0,1300000.0,Descalificado,Bogotá
0.0,120000000.0,4000000.0,4000000.0,Descalificado,Bogotá
30000000.0,480000000.0,4500000.0,4500000.0,Descalificado,Bogotá
64000000.0,320000000.0,16000000.0,16000000.0,Alta,Bogotá
15.0,250000000.0,3600000.0,3600000.0,Descalificado,Bogotá
15000000.0,250000000.0,4000000.0,4000000.0,Descalificado,Bogotá
20000000.0,100000000.0,6000000.0,6000000.0,Descalificado,Santa Marta
225000000.0,450000000.0,12300000.0,12300000.0,Alta,Bogotá
10000000.0,15000000.0,20000000.0,20000000.0,Descalificado,Bogotá
,,,0.0,Descalificado,
50000000.0,300000000.0,9500000.0,9500000.0,Alta,Bogotá
100000000.0,260000000.0,6500000.0,6500000.0,Descalificado,
20000000.0,300000000.0,1000000.0,1000000.0,Descalificado,Bogotá
1234567.0,123456712.0,12345678.0,12345678.0,Descalificado,
0.0,850000000.0,19000000.0,19000000.0,Descalificado,Bogotá
25000000.0,150000000.0,4000000.0,4000000.0,Alta,Bogotá
210000000.0,490000000.0,12000000.0,12000000.0,Alta,Bogotá
43000000.0,220000000.0,4000000.0,4000000.0,Media,Bogotá
27000000.0,160000000.0,7000000.0,7000000.0,Descalificado,
0.0,300000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,250000000.0,4000000.0,4000000.0,Descalificado,Bogotá
