pctcuota_inicial__c,Presupuesto_inmueble_a_comprar__c,de_ingresos_sobre_el_inmueble__c,picklist_ciudad__c,Calidad_de_lead__c
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
26.09,115000000.0,3.53,0,-1
3.33,150000000.0,1.38,0,-1
4405.569988670977,248711054.43550834,-50.0,0,-1
18.0,250000000.0,9.27,1,1
0.0,190000000.0,1.21,1,-1
32.5,120000000.0,2.47,1,0
0.0,250000000.0,0.8,1,-1
0.0,300000000.0,1.0,1,-1
0.0,750000000.0,3.33,0,-1
0.0,500000000.0,5.0,0,-1
16.52,230000000.0,4.43,1,1
22.0,250000000.0,5.23,1,1
5.88,170000000.0,2.88,1,-1
19.05,840000000.0,1.76,1,-1
15.63,160000000.0,4.44,1,0
10.0,200000000.0,2.22,1,-1
50.86,130000000.0,4.07,0,-1
14.29,140000000.0,3.75,1,0
8.0,250000000.0,2.17,1,-1
6.67,300000000.0,2.14,1,-1
4.06,345000000.0,1.06,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
57.14,3500000.0,86.67,1,-1
17.2,125000000.0,28.99,1,1
21.05,190000000.0,3.07,1,1
63.64,330000000.0,14.08,1,1
17.14,175000000.0,6.21,0,-1
21.43,140000000.0,5.0,1,1
10.0,450000000.0,4.94,1,-1
17.39,115000000.0,5.26,1,1
7.2,125000000.0,1.72,1,-1
16.67,180000000.0,3.6,1,1
13.64,220000000.0,1.32,1,-1
20.0,150000000.0,2.08,1,-1
35.29,340000000.0,5.09,0,-1
0.0,350000000.0,2.8,1,-1
10.0,300000000.0,3.15,0,-1
26.32,380000000.0,3.32,1,1
36.84,190000000.0,6.25,0,-1
17.04,135000000.0,3.48,0,-1
26.92,260000000.0,7.89,1,1
9.43,350000000.0,2.11,1,-1
10.0,300000000.0,1.48,1,-1
32.56,430000000.0,1.72,1,-1
200000.0,200.0,-0.33,1,-1
2.0,250000000.0,1.22,1,-1
10.0,300000000.0,1.93,1,-1
5.88,170000000.0,2.5,0,-1
0.0,400000000.0,5.2,1,-1
12.5,240.0,-0.32029394934213307,1,-1
11.25,400000000.0,2.82,1,-1
0.0,150000000.0,1.33,1,-1
666666.67,300.0,-650.1,1,-1
1.67,300000000.0,4.41,1,-1
21.74,230000000.0,1.94,1,-1
13.51,185000000.0,2.5,1,0
1.0,200.0,1.52,1,-1
8.33,180000000.0,1.94,1,-1
4.0,300000000.0,3.54,1,-1
38.89,90000000.0,9.09,1,-1
10.0,300000000.0,1.11,1,-1
16.67,300000000.0,1.2,1,-1
5.76,139000000.0,1.6,1,-1
30.3,165000000.0,6.09,1,1
2.0,500000000.0,1.53,1,-1
10.0,400000000.0,5.0,1,-1
2.5,200000000.0,1.03,1,-1
20.83,120000000.0,2.11,1,0
62.86,350000000.0,3.46,0,-1
400.0,150.0,-8.89,1,-1
3.33,150000000.0,3.45,1,-1
27.78,180000000.0,1.0,1,-1
33.33,150000000.0,4.5,1,1
16.5,100000000.0,4.79,1,1
23.08,130000000.0,15.0,1,1
16.67,150000000.0,6.0,1,1
16.8,125000000.0,5.96,1,1
5.0,200000000.0,2.11,1,-1
5.0,600000000.0,2.63,1,-1
17.86,140.0,0.8881069020752395,1,-1
16.67,150000000.0,4.8,1,1
20.0,250000000.0,4.5,0,-1
1.67,120000000.0,1.1,1,-1
12.58,159.0,4.32,1,-1
6.25,240000000.0,1.4,1,-1
5.0,1400000000.0,0.23,1,-1
16.67,150000000.0,2.4,1,0
2.78,180000000.0,2.23,1,-1
7.69,260000000.0,1.25,1,-1
6.67,150000000.0,1.43,1,-1
18.18,165000000.0,2.22,1,0
25.0,120000000.0,2.0,1,-1
16.88,160000000.0,4.14,0,-1
16.0,125000000.0,3.05,0,-1
17.86,140000000.0,3.3,0,-1
8.89,450000000.0,1.46,1,-1
16.51,430000000.0,2.79,1,0
17.09,175500000.0,3.09,1,1
16.67,450000000.0,2.13,1,0
30.0,220000000.0,3.9,1,1
0.0,20000000.0,19.5,1,-1
0.0,250000000.0,1.56,1,-1
4.0,250000000.0,0.54,1,-1
0.0,190000000.0,2.47,1,-1
4405.569988670977,248711054.43550834,-21.197677676783577,1,-1
43.75,160000000.0,3.44,0,-1
0.0,156000000.0,2.73,1,-1
0.0,600000000.0,1.23,1,-1
19.09,110000000.0,3.6,1,1
171.43,175000000.0,-3.2,0,-1
11.63,430000000.0,1.71,1,-1
0.0,200000000.0,1.0,1,-1
3.08,130000000.0,1.98,1,-1
17.5,200000000.0,12.12,0,-1
0.0,140000000.0,2.14,0,-1
17.14,140000000.0,2.59,0,-1
27.59,290000000.0,4.95,0,-1
18.75,160000000.0,23.08,1,1
0.0,120000000.0,6.67,0,-1
5.71,175000000.0,2.42,1,-1
31.91,470000000.0,6.56,1,1
3.85,260000000.0,1.04,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
0.0,4.0,100.0,0,-1
4.0,250000000.0,0.0,1,-1
16.67,180000000.0,3.13,1,1
0.0,60000000.0,3.33,1,-1
0.06,180000000.0,1.11,1,-1
4.0,250000000.0,4.17,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
5.0,400000000.0,2.63,1,-1
0.0,250000000.0,1.2,1,-1
16.67,390000000.0,2.46,1,0
5.71,350000000.0,2.88,0,-1
4405.569988670977,248711054.43550834,-15.0,1,-1
1.71,175000000.0,1.74,1,-1
16.56,157000000.0,6.49,1,1
17.24,290000000.0,3.01,0,-1
10.53,190000000.0,0.35,1,-1
10.0,190000000.0,3.51,1,-1
10.0,100000000.0,2.78,1,-1
2.38,168000000.0,2.44,1,-1
0.0,100000000.0,1.5,1,-1
15.71,140000000.0,4.03,1,0
16.0,300000000.0,3.37,1,0
0.0,140000000.0,2.14,1,-1
2.5,200000000.0,1.44,1,-1
3.33,300000000.0,1.38,0,-1
25.0,100000000.0,8.0,1,1
17.14,140000000.0,8.62,1,1
1.11,180000000.0,1.12,1,-1
333.33,3000000.0,-571.43,0,-1
4405.569988670977,248711054.43550834,-26.67,0,-1
10.0,100000000.0,4.44,0,-1
5.0,300000000.0,3.86,1,-1
13.33,150000000.0,0.12,1,-1
44.0,250000000.0,1.43,1,-1
14.57,350000000.0,1.48,1,-1
14.8,250000000.0,6.1,0,-1
25.38,650000000.0,2.06,1,-1
17.39,138000000.0,1.58,1,-1
2.31,216900000.0,0.8,1,-1
4405.569988670977,248711054.43550834,-3.14,1,-1
17.05,176000000.0,2.05,1,-1
17.05,176000000.0,1.92,1,-1
33.33,300000000.0,2.5,1,0
4.29,350000000.0,2.84,1,-1
40.0,300000000.0,3.89,1,1
45.45,110000000.0,4.83,0,-1
67.27,220000000.0,9.03,1,1
14.55,220000000.0,3.88,1,0
15.56,450.0,1.05,1,-1
0.0,120000000.0,0.83,1,-1
0.83,600000000.0,0.67,1,-1
6.25,320000000.0,0.72,0,-1
0.67,150.0,0.67,1,-1
44.44,180000000.0,5.0,1,1
2.86,280000000.0,1.65,1,-1
50.0,160000000.0,11.25,0,-1
1.5,200000000.0,0.81,0,-1
15.0,200000000.0,1.33,1,-1
15.65,230000000.0,2.06,1,-1
20.0,150000000.0,5.83,1,1
38.76,129000000.0,4.81,1,1
2.78,180000000.0,1.14,1,-1
22.58,310000000.0,6.71,1,1
0.0,4.0,100.0,0,-1
-1.5787159196255336,479.0,-30.0,1,-1
11.11,180000000.0,9.38,1,-1
13.64,220000000.0,7.89,1,0
90.0,200000000.0,50.0,1,1
105.0,200000000.0,-72.0,1,-1
110.0,200000000.0,-30.0,1,-1
90.0,200000000.0,24.56,1,1
12.5,80000000.0,2.86,1,-1
11.11,180000000.0,2.88,1,-1
10.0,200000000.0,2.56,1,-1
13.33,150000000.0,3.54,1,-1
0.0,350000000.0,1.84,1,-1
13.33,450000000.0,1.28,1,-1
0.0,400000000.0,0.75,0,-1
6.67,300000000.0,1.43,1,-1
20.0,250000000.0,2.5,1,0
48.75,400000000.0,4.88,1,1
16.57,175000000.0,6.51,1,1
14.91,550000000.0,4.7,1,-1
21.88,160000000.0,8.0,1,1
16.15,130000000.0,3.67,1,0
48.75,400000000.0,4.88,1,1
2.8,250000000.0,2.14,1,-1
16.0,250000000.0,3.57,1,0
0.5,200000000.0,0.8,0,-1
18.75,160000000.0,3.85,1,1
42.03,138000000.0,8.75,1,1
10.0,100000000.0,1.11,0,-1
10.0,400.0,3.89,1,-1
0.0,100.0,1300.0,1,-1
6.67,300000000.0,3.39,1,-1
1.88,160000000.0,0.96,0,-1
1.33,150000000.0,2.7,1,-1
7.5,400000000.0,3.24,1,-1
13.85,130000000.0,3.57,1,0
8.0,500000000.0,4.35,1,-1
16.5,180000000.0,2.66,1,0
